sim_time,vehicle_id,tls_id,lane_id,eta,speed,priority_granted,phase_index,note
165.7,bus1,122830043,156415834#9_0,7.52,3.95,no,N/A,ETA too high (7.5s)
165.75,bus2,N/A,405356995_1,N/A,12.46,no,N/A,No TLS ahead
165.75,bus1,122830043,156415834#9_0,7.4,3.98,no,N/A,ETA too high (7.4s)
165.8,bus2,N/A,405356995_1,N/A,12.5,no,N/A,No TLS ahead
165.8,bus1,122830043,156415834#9_0,7.27,4.03,no,N/A,ETA too high (7.3s)
165.85,bus2,N/A,405356995_1,N/A,12.54,no,N/A,No TLS ahead
165.85,bus1,122830043,156415834#9_0,7.13,4.08,no,N/A,ETA too high (7.1s)
165.9,bus2,N/A,405356995_1,N/A,12.58,no,N/A,No TLS ahead
165.9,bus1,122830043,156415834#9_0,7.02,4.12,no,N/A,ETA too high (7.0s)
165.95,bus2,N/A,405356995_1,N/A,12.64,no,N/A,No TLS ahead
165.95,bus1,122830043,156415834#9_0,6.89,4.16,no,N/A,ETA too high (6.9s)
166.0,bus2,N/A,405356995_1,N/A,12.67,no,N/A,No TLS ahead
166.0,bus1,122830043,156415834#9_0,6.77,4.21,no,N/A,ETA too high (6.8s)
166.05,bus2,N/A,405356995_1,N/A,12.71,no,N/A,No TLS ahead
