sim_time,vehicle_id,vehicle_type,tls_id,lane_id,position_marker,actual_position,speed
111,f_1.13,DEFAULT_VEHTYPE,N/A,:4083175943_0_2,end,7.45,28.259079537973633
111,f_1.15,DEFAULT_VEHTYPE,N/A,:9491550176_0_3,start,0.64,26.182040057800332
112,f_0.14,DEFAULT_VEHTYPE,N/A,406216725#0_2,end,50.27,8.847661800213158
112,f_0.15,DEFAULT_VEHTYPE,N/A,:cluster_268162697_2761920568_1_0,start,0.13,8.837704779351682
112,f_0.22,DEFAULT_VEHTYPE,N/A,:2761920560_0_2,start,0.42,22.76913668024354
112,f_1.15,DEFAULT_VEHTYPE,N/A,:4083175940_0_0,start,0.23,27.21385195514292
112,f_1.24,DEFAULT_VEHTYPE,N/A,:36750787_2_0,start,0.48,8.127546546864322
112,f_2.12,DEFAULT_VEHTYPE,N/A,259846930#0_1,middle,80.12,6.1331120213965695
113,f_0.0,DEFAULT_VEHTYPE,N/A,-72011935_0,start,0.13,13.883913422846609
113,f_0.3,DEFAULT_VEHTYPE,N/A,:268162729_3_0,middle,15.23,9.483330623120807
113,f_1.8,DEFAULT_VEHTYPE,N/A,:268162723_0_0,middle,3.48,23.0088044340166
114,f_2.7,DEFAULT_VEHTYPE,N/A,:cluster_268162601_7059565447_1_1,end,13.66,11.430465977279155
115,f_0.1,DEFAULT_VEHTYPE,N/A,:6483341599_0_0,end,5.6,14.145494463712692
115,f_0.7,DEFAULT_VEHTYPE,N/A,:4083175938_0_3,start,0.61,7.1461140129040714
115,f_2.6,DEFAULT_VEHTYPE,N/A,:cluster_268162601_7059565447_1_1,start,0.18,3.1433244181155224
116,f_0.18,DEFAULT_VEHTYPE,N/A,406216725#0_2,end,50.76,10.623563182467391
116,f_0.21,DEFAULT_VEHTYPE,N/A,406216739_1,middle,32.91,26.40232501213964
117,f_0.22,DEFAULT_VEHTYPE,N/A,:4083186358_0_2,middle,3.93,24.317667792685235
117,f_0.23,DEFAULT_VEHTYPE,N/A,:cluster_268162706_2761920600_10_2,start,0.63,24.523060980439187
117,f_1.14,DEFAULT_VEHTYPE,N/A,:4083175943_0_2,middle,4.51,27.93585272634702
117,f_1.25,DEFAULT_VEHTYPE,N/A,:36750787_2_0,start,0.95,8.187710314569996
118,f_0.3,DEFAULT_VEHTYPE,N/A,-406215639#2_0,start,0.35,10.53170833494225
118,f_2.21,DEFAULT_VEHTYPE,N/A,:7059565437_0_0,middle,4.13,10.880764509329415
118,f_2.9,DEFAULT_VEHTYPE,N/A,406233345_1,start,0.12,9.746468172569204
