sim_time,vehicle_id,vehicle_type,tls_id,lane_id,position_marker,actual_position,speed
64,9,DEFAULT_VEHTYPE,N/A,59712267#0_1,middle,38.74,16.590635689944282
65,2,DEFAULT_VEHTYPE,N/A,:7872074180_1_0,end,8.71,13.242476312218999
65,22,DEFAULT_VEHTYPE,N/A,-13293747#8_0,end,244.69,7.899922821259236
66,10,DEFAULT_VEHTYPE,N/A,-13471953#7_0,middle,12.28,10.11916701990054
66,22,DEFAULT_VEHTYPE,N/A,:122654958_10_0,end,3.86,4.417523699687333
67,10,DEFAULT_VEHTYPE,N/A,-13471953#7_0,end,23.82,11.544999193431485
67,22,DEFAULT_VEHTYPE,N/A,:122654958_18_0,middle,5.25,5.812349686413542
67,28,DEFAULT_VEHTYPE,N/A,:268161267_0_0,end,8.16,5.863106094349407
67,9,DEFAULT_VEHTYPE,N/A,59712267#1_1,start,0.34,16.840757943471218
68,10,DEFAULT_VEHTYPE,N/A,-13471953#6_0,start,0.23,13.613740881121393
68,24,DEFAULT_VEHTYPE,N/A,:6745394383_6_0,start,0.13,12.22673522785423
68,9,DEFAULT_VEHTYPE,N/A,:6734609582_4_1,start,0.92,15.993252166491256
69,2,DEFAULT_VEHTYPE,N/A,:8451745211_0_0,end,8.75,15.064985749124771
69,25,DEFAULT_VEHTYPE,N/A,-406503367#0_0,end,270.86,11.69211346815788
70,6,DEFAULT_VEHTYPE,N/A,13373063#12_0,end,116.37,8.787738339673648
71,4,DEFAULT_VEHTYPE,N/A,4581191#0_1,start,0.93,23.776467021415016
72,23,DEFAULT_VEHTYPE,N/A,:6094647103_4_0,end,8.73,14.362084340220317
72,24,DEFAULT_VEHTYPE,N/A,13387358#27_0,middle,21.97,11.341090183305791
72,t1B3-b2739-sl4.0,bus,N/A,755844263_0,end,22.75,0.7888310789130628
73,11,DEFAULT_VEHTYPE,N/A,405276988#5_0,middle,1.81,27.913611548645363
73,21,DEFAULT_VEHTYPE,N/A,334267468#5_1,start,0.42,7.075617300622553
73,4,DEFAULT_VEHTYPE,N/A,4581191#0_1,middle,54.95,27.86743581577001
73,t163-b2736-sl4.0,bus,N/A,405544796#0_0,middle,22.42,2.195056348457001
74,9,DEFAULT_VEHTYPE,N/A,:cluster_6726340740_6731977082_6_0,end,16.25,10.89342890572841
75,1,DEFAULT_VEHTYPE,N/A,:4083390208_0_0,start,0.17,13.637232675460615
75,18,DEFAULT_VEHTYPE,N/A,-24672357#0_0,end,101.92,5.214300950189571
75,19,DEFAULT_VEHTYPE,N/A,406215621#1_0,end,14.39,22.555401694588912
75,25,DEFAULT_VEHTYPE,N/A,:4083217169_2_0,middle,6.56,9.482977409004018
76,28,DEFAULT_VEHTYPE,N/A,405544796#7_0,end,77.49,18.968480339704403
77,4,DEFAULT_VEHTYPE,N/A,:7875211274_6_1,start,0.09,27.345400584864258
77,5,DEFAULT_VEHTYPE,N/A,405544796#3_2,end,9.86,16.439970590192154
77,6,DEFAULT_VEHTYPE,N/A,:4706140818_1_0,end,9.28,14.113930052122557
78,12,DEFAULT_VEHTYPE,N/A,:268161579_1_0,end,14.09,15.920199005932322
78,17,DEFAULT_VEHTYPE,N/A,13317660#0_0,middle,5.95,12.605789992753452
78,28,DEFAULT_VEHTYPE,N/A,405544796#8_0,end,27.24,18.709163263870725
78,4,DEFAULT_VEHTYPE,N/A,:7875211269_6_1,end,8.55,27.427454973783174
78,8,DEFAULT_VEHTYPE,N/A,:6731642306_4_1,end,10.83,17.25723847417512
78,t163-b2736-sl4.0,bus,N/A,:6734613594_4_0,start,0.61,6.191774566308595
79,15,DEFAULT_VEHTYPE,N/A,:123155447_11_0,start,0.65,1.6551157405599952
79,19,DEFAULT_VEHTYPE,N/A,406215634#1_1,middle,4.26,5.710477922484047
79,29,DEFAULT_VEHTYPE,N/A,:7875790612_0_1,start,0.18,17.12092515249744
80,10,DEFAULT_VEHTYPE,N/A,-13471953#5_0,start,0.98,9.999025568825907
80,15,DEFAULT_VEHTYPE,N/A,:123155447_11_0,end,4.91,4.2551157405599955
80,16,DEFAULT_VEHTYPE,N/A,:cluster_1211029517_1211029595_0_0,start,0.02,11.617586224262276
80,20,DEFAULT_VEHTYPE,N/A,:122851560_0_0,middle,6.59,14.868772949263409
80,26,DEFAULT_VEHTYPE,N/A,:122837316_12_0,start,0.03,5.33973350313177
80,32,DEFAULT_VEHTYPE,N/A,406210052#7_1,end,19.56,5.340368836241342
80,36,DEFAULT_VEHTYPE,N/A,406232653#2_0,start,0.14,13.363553501645892
80,5,DEFAULT_VEHTYPE,N/A,405544796#5_2,start,0.63,15.922945096501408
80,9,DEFAULT_VEHTYPE,N/A,59712267#6_0,middle,11.16,16.704931469392285
81,15,DEFAULT_VEHTYPE,N/A,:123155447_15_0,middle,6.48,6.557373863528483
81,16,DEFAULT_VEHTYPE,N/A,105057079#7_0,middle,3.59,12.062971464071095
81,26,DEFAULT_VEHTYPE,N/A,:122837316_12_0,middle,4.78,4.743973426894859
81,32,DEFAULT_VEHTYPE,N/A,:2141024766_9_0,middle,1.47,2.9704830715511368
81,8,DEFAULT_VEHTYPE,N/A,:6134742001_4_0,middle,4.94,17.66337168121203
81,9,DEFAULT_VEHTYPE,N/A,:6753573921_4_0,middle,4.74,16.131466960036448
82,6,DEFAULT_VEHTYPE,N/A,-13307004#8_0,start,0.54,13.882811033050054
83,19,DEFAULT_VEHTYPE,N/A,334267468#0_1,middle,5.19,8.536582612908326
84,10,DEFAULT_VEHTYPE,N/A,-13471953#5_0,middle,55.66,14.837648171533042
85,11,DEFAULT_VEHTYPE,N/A,405276418_0,start,0.3,8.369278604987654
85,17,DEFAULT_VEHTYPE,N/A,:7874784821_1_0,middle,4.68,12.556216355999968
85,32,DEFAULT_VEHTYPE,N/A,:6731971193_6_1,middle,4.97,9.368641750755199
85,37,DEFAULT_VEHTYPE,N/A,13400749_0,end,95.81,4.489690042818166
86,30,DEFAULT_VEHTYPE,N/A,755844260#0_0,start,0.42,11.363401622645549
87,18,DEFAULT_VEHTYPE,N/A,1264201012#1_1,middle,63.07,17.66822035268008
87,19,DEFAULT_VEHTYPE,N/A,334267468#3_1,end,11.14,17.416306468202617
87,36,DEFAULT_VEHTYPE,N/A,406232653#3_0,start,0.21,13.277522434507356
87,5,DEFAULT_VEHTYPE,N/A,405544796#5_1,end,112.91,15.693891482003293
88,17,DEFAULT_VEHTYPE,N/A,:6734690533_0_0,start,0.97,12.752272277795747
88,21,DEFAULT_VEHTYPE,N/A,334267468#8_3,start,0.52,20.277033818894743
88,8,DEFAULT_VEHTYPE,N/A,405544796#5_0,end,112.2,16.332780281448247
89,2,DEFAULT_VEHTYPE,N/A,-13315528#12_0,end,1.81,15.712090547172576
89,28,DEFAULT_VEHTYPE,N/A,405544792#0_1,middle,29.77,18.770424582564594
89,31,DEFAULT_VEHTYPE,N/A,:122837320_16_0,middle,6.16,7.506155249049466
89,38,DEFAULT_VEHTYPE,N/A,:122793095_11_0,end,5.96,4.167027561846602
90,15,DEFAULT_VEHTYPE,N/A,:28947755_6_1,middle,7.36,22.981497832876634
90,16,DEFAULT_VEHTYPE,N/A,105057953_0,end,42.08,4.492716297404604
90,25,DEFAULT_VEHTYPE,N/A,:7875211269_6_1,middle,5.08,22.81800142147439
90,5,DEFAULT_VEHTYPE,N/A,:6734937383_4_1,start,0.47,15.732780878892427
90,6,DEFAULT_VEHTYPE,N/A,-13307004#3_0,middle,18.97,13.406398722738484
90,7,DEFAULT_VEHTYPE,N/A,-13293747#8_0,end,244.25,11.402920803082138
91,13,DEFAULT_VEHTYPE,N/A,:122793092_16_0,end,10.61,5.6172687032027175
91,18,DEFAULT_VEHTYPE,N/A,:7875345142_3_1,end,9.21,18.002250314662824
91,2,DEFAULT_VEHTYPE,N/A,:6785690845_1_0,middle,5.14,14.674500999133326
91,32,DEFAULT_VEHTYPE,N/A,:7144732867_4_1,start,0.78,21.112000200905317
91,4,DEFAULT_VEHTYPE,N/A,:28947757_12_1,end,28.68,3.8151078459152052
92,18,DEFAULT_VEHTYPE,N/A,:7875345153_3_1,start,0.42,18.550500509115526
92,2,DEFAULT_VEHTYPE,N/A,-13315528#9_0,start,0.69,14.79133713412959
92,6,DEFAULT_VEHTYPE,N/A,-13307004#2_0,start,0.16,14.44085405345493
92,t1B3-b2739-sl4.0,bus,N/A,:7059565455_1_0,middle,4.51,13.116791216391139
93,13,DEFAULT_VEHTYPE,N/A,406259063#0_1,end,5.48,9.251759667205626
93,16,DEFAULT_VEHTYPE,N/A,105057043#5_0,end,6.31,11.297522336514428
93,2,DEFAULT_VEHTYPE,N/A,:6726105379_1_0,end,8.85,14.604164502023941
93,30,DEFAULT_VEHTYPE,N/A,:cluster_7059565448_7059565449_7464757604_939854561_1_0,middle,20.37,9.254736010328916
93,36,DEFAULT_VEHTYPE,N/A,:2817032407_0_0,middle,4.34,12.973118277340054
93,5,DEFAULT_VEHTYPE,N/A,405544796#7_1,middle,39.36,16.66465330202531
93,6,DEFAULT_VEHTYPE,N/A,-13307004#1_0,start,0.56,13.407523867693408
94,20,DEFAULT_VEHTYPE,N/A,:123084333_6_0,middle,4.83,6.787877720012112
94,27,DEFAULT_VEHTYPE,N/A,13398520#1_0,end,437.01,4.466793412390058
94,29,DEFAULT_VEHTYPE,N/A,-406259064#6_1,middle,15.13,16.58107189662762
94,8,DEFAULT_VEHTYPE,N/A,405544796#7_0,middle,39.02,17.417038783008394
95,25,DEFAULT_VEHTYPE,N/A,4581191#7_1,middle,20.63,22.582299764294646
95,29,DEFAULT_VEHTYPE,N/A,:cluster_6787846107_7875790593_1_1,start,0.81,16.422219267962575
95,36,DEFAULT_VEHTYPE,N/A,406232643#0_0,start,0.64,12.385083142322348
96,16,DEFAULT_VEHTYPE,N/A,105057043#7_0,middle,4.93,16.293570581674338
96,17,DEFAULT_VEHTYPE,N/A,1194285987#1_0,end,19.06,12.681977285961658
96,44,DEFAULT_VEHTYPE,N/A,:cluster_10716018719_122741954_1_0,middle,13.36,8.857646374361279
96,5,DEFAULT_VEHTYPE,N/A,405544796#8_1,start,0.43,16.44687347809717
96,9,DEFAULT_VEHTYPE,N/A,:6734613594_4_0,end,9.65,17.195797716537744
97,10,DEFAULT_VEHTYPE,N/A,-13471953#4_0,end,110.88,8.75055490829304
97,12,DEFAULT_VEHTYPE,N/A,:7148277861_1_0,start,0.62,15.746485213164945
97,13,DEFAULT_VEHTYPE,N/A,406259064#2_1,end,11.46,17.142912868689745
97,24,DEFAULT_VEHTYPE,N/A,:122793100_12_0,end,10.34,5.670885856897816
97,43,DEFAULT_VEHTYPE,N/A,85355565#1_0,end,3.45,5.332812733803986
97,8,DEFAULT_VEHTYPE,N/A,:6735243610_4_0,end,9.14,17.972507240536856
