sim_time,vehicle_id,tls_id,lane_id,eta,speed,priority_granted,phase_index,note
46.5,bus1,N/A,406241598_1,N/A,27.77,no,N/A,No TLS ahead
46.5,bus2,N/A,405545578_0,N/A,20.1,no,N/A,No TLS ahead
46.55,bus1,N/A,406241598_1,N/A,27.75,no,N/A,No TLS ahead
46.55,bus2,N/A,405545578_0,N/A,20.11,no,N/A,No TLS ahead
46.6,bus1,N/A,406241598_1,N/A,27.76,no,N/A,No TLS ahead
46.6,bus2,N/A,405545578_0,N/A,20.11,no,N/A,No TLS ahead
46.65,bus1,N/A,406241598_1,N/A,27.77,no,N/A,No TLS ahead
46.65,bus2,N/A,405545578_0,N/A,20.11,no,N/A,No TLS ahead
46.7,bus1,N/A,406241598_1,N/A,27.75,no,N/A,No TLS ahead
46.7,bus2,N/A,405545578_0,N/A,20.1,no,N/A,No TLS ahead
46.75,bus1,N/A,:cluster_123112180_939854609_5_1,N/A,27.75,no,N/A,No TLS ahead
46.75,bus2,N/A,405545578_0,N/A,20.1,no,N/A,No TLS ahead
46.8,bus1,N/A,:cluster_123112180_939854609_5_1,N/A,27.77,no,N/A,No TLS ahead
46.8,bus2,N/A,405545578_0,N/A,20.11,no,N/A,No TLS ahead
46.85,bus1,N/A,:cluster_123112180_939854609_5_1,N/A,27.76,no,N/A,No TLS ahead
46.85,bus2,N/A,405545578_0,N/A,20.11,no,N/A,No TLS ahead
46.9,bus1,N/A,:cluster_123112180_939854609_5_1,N/A,27.75,no,N/A,No TLS ahead
46.9,bus2,N/A,405545578_0,N/A,20.1,no,N/A,No TLS ahead
46.95,bus1,N/A,:cluster_123112180_939854609_5_1,N/A,27.76,no,N/A,No TLS ahead
46.95,bus2,N/A,405545578_0,N/A,20.11,no,N/A,No TLS ahead
47.0,bus1,N/A,:cluster_123112180_939854609_5_1,N/A,27.77,no,N/A,No TLS ahead
47.0,bus2,N/A,405545578_0,N/A,20.1,no,N/A,No TLS ahead
47.05,bus1,N/A,:cluster_123112180_939854609_5_1,N/A,27.75,no,N/A,No TLS ahead
47.05,bus2,N/A,405545578_0,N/A,20.11,no,N/A,No TLS ahead
47.1,bus1,N/A,:cluster_123112180_939854609_5_1,N/A,27.77,no,N/A,No TLS ahead
47.1,bus2,N/A,405545578_0,N/A,20.11,no,N/A,No TLS ahead
47.15,bus1,N/A,:cluster_123112180_939854609_5_1,N/A,27.76,no,N/A,No TLS ahead
47.15,bus2,N/A,405545578_0,N/A,20.12,no,N/A,No TLS ahead
47.2,bus1,N/A,:cluster_123112180_939854609_5_1,N/A,27.77,no,N/A,No TLS ahead
47.2,bus2,N/A,405545578_0,N/A,20.11,no,N/A,No TLS ahead
47.25,bus1,N/A,406242649#0_1,N/A,27.77,no,N/A,No TLS ahead
47.25,bus2,N/A,405545578_0,N/A,20.1,no,N/A,No TLS ahead
47.3,bus1,N/A,406242649#0_1,N/A,27.77,no,N/A,No TLS ahead
47.3,bus2,N/A,405545578_0,N/A,20.11,no,N/A,No TLS ahead
47.35,bus1,N/A,406242649#0_1,N/A,27.77,no,N/A,No TLS ahead
47.35,bus2,N/A,405545578_0,N/A,20.09,no,N/A,No TLS ahead
47.4,bus1,N/A,406242649#0_1,N/A,27.75,no,N/A,No TLS ahead
47.4,bus2,N/A,405545578_0,N/A,20.12,no,N/A,No TLS ahead
47.45,bus1,N/A,406242649#0_1,N/A,27.77,no,N/A,No TLS ahead
47.45,bus2,N/A,405545578_0,N/A,20.11,no,N/A,No TLS ahead
47.5,bus1,N/A,406242649#0_1,N/A,27.77,no,N/A,No TLS ahead
47.5,bus2,N/A,405545578_0,N/A,20.11,no,N/A,No TLS ahead
47.55,bus1,N/A,406242649#0_1,N/A,27.76,no,N/A,No TLS ahead
47.55,bus2,N/A,405545578_0,N/A,20.09,no,N/A,No TLS ahead
47.6,bus1,N/A,406242649#0_1,N/A,27.76,no,N/A,No TLS ahead
47.6,bus2,N/A,405545578_0,N/A,20.11,no,N/A,No TLS ahead
47.65,bus1,N/A,406242649#0_1,N/A,27.76,no,N/A,No TLS ahead
47.65,bus2,N/A,:5732706428_0_0,N/A,20.1,no,N/A,No TLS ahead
47.7,bus1,N/A,406242649#0_1,N/A,27.77,no,N/A,No TLS ahead
47.7,bus2,N/A,:5732706428_0_0,N/A,20.12,no,N/A,No TLS ahead
47.75,bus1,N/A,406242649#0_1,N/A,27.78,no,N/A,No TLS ahead
47.75,bus2,N/A,:5732706428_0_0,N/A,20.1,no,N/A,No TLS ahead
47.8,bus1,N/A,406242649#0_1,N/A,27.76,no,N/A,No TLS ahead
47.8,bus2,N/A,:5732706428_0_0,N/A,20.1,no,N/A,No TLS ahead
47.85,bus1,N/A,406242649#0_1,N/A,27.77,no,N/A,No TLS ahead
47.85,bus2,N/A,:5732706428_0_0,N/A,20.1,no,N/A,No TLS ahead
47.9,bus1,N/A,406242649#0_1,N/A,27.75,no,N/A,No TLS ahead
47.9,bus2,N/A,:5732706428_0_0,N/A,20.1,no,N/A,No TLS ahead
47.95,bus1,N/A,406242649#0_1,N/A,27.75,no,N/A,No TLS ahead
47.95,bus2,N/A,:5732706428_0_0,N/A,20.12,no,N/A,No TLS ahead
48.0,bus1,N/A,406242649#0_1,N/A,27.75,no,N/A,No TLS ahead
48.0,bus2,N/A,:5732706428_0_0,N/A,20.09,no,N/A,No TLS ahead
48.05,bus1,N/A,406242649#0_1,N/A,27.76,no,N/A,No TLS ahead
48.05,bus2,N/A,:5732706428_0_0,N/A,20.11,no,N/A,No TLS ahead
48.1,bus1,N/A,406242649#0_1,N/A,27.75,no,N/A,No TLS ahead
48.1,bus2,N/A,1264201012#0_0,N/A,20.12,no,N/A,No TLS ahead
48.15,bus1,N/A,406242649#0_1,N/A,27.75,no,N/A,No TLS ahead
48.15,bus2,N/A,1264201012#0_0,N/A,20.11,no,N/A,No TLS ahead
48.2,bus1,N/A,406242649#0_1,N/A,27.78,no,N/A,No TLS ahead
48.2,bus2,N/A,1264201012#0_0,N/A,20.09,no,N/A,No TLS ahead
48.25,bus1,N/A,406242649#0_1,N/A,27.78,no,N/A,No TLS ahead
48.25,bus2,N/A,1264201012#0_0,N/A,20.09,no,N/A,No TLS ahead
